channel_id,channel_name,subscriber_count,creator_tier,total_videos,shorts_count_sample,avg_views,median_views,std_views,max_views,avg_like_rate,avg_duration_sec,pct_vertical,pct_has_music,avg_title_length,avg_hook_count,avg_emoji_count,pct_has_hashtag,viral_video_rate,views_per_subscriber,consistency_score
UCn9bc8wJtEO6EgqRKk3s2RQ,Harsh cuber,105000,mid,30,30,160833.33,7850.0,824337.86,4600000,0.0,0.0,0.0,0.0,63.1,0.4667,0.5333,1.0,0.0333,1.5317,0.1633
UC-rkCjkBGhTH5vK-ajT363g,Rider Of Bokaro ,4230,nano,30,30,6788.17,2300.0,9755.93,32000,0.0,0.0,0.0,0.0,52.23,0.4,1.5333,0.5,0.0,1.6048,0.4103
UCsMHFdnMVXnDtiSl8II03XQ,Prime Creations,4300000,macro,30,30,716600.0,113500.0,2348834.83,13000000,0.0,0.0,0.0,0.0,91.93,0.6667,0.1333,1.0,0.1,0.1667,0.2338
UCRfGhLhb5brgMfX-JDacDNQ,FL Bros,2270,nano,30,30,6277.27,4400.0,6202.41,31000,0.0,0.0,0.0,0.0,32.8,0.2,0.0,0.0,0.0,2.7653,0.503
UC52tobHj3tVP9zEA62A7o8A,neanto,196000,mid,30,30,37770.0,8400.0,89852.43,483000,0.0,0.0,0.0,0.0,65.93,0.1333,0.2333,0.6,0.0,0.1927,0.296
UCXM_klqvjKpoeyJjYpEcXaA,Cubing 4 U,18200,micro,30,30,229803.33,24500.0,407344.54,1600000,0.0,0.0,0.0,0.0,37.1,0.1,0.2333,0.0,0.1,12.6266,0.3607
UCmnVdGU8Oh32fSS_QpuSVvQ,Besenyei András,1480,nano,30,30,35946.93,18000.0,53787.34,248000,0.0,0.0,0.0,0.0,50.37,0.2333,0.1667,0.9333,0.0,24.2885,0.4006
UCn9Euk1fRwwhpDkmmhWyvIA,theNoobcuber,443,nano,17,17,69659.18,29000.0,145680.66,594000,0.0,0.0,0.0,0.0,58.29,0.1765,0.0,0.2353,0.0,157.2442,0.3235
UCoYu2szPa2OKg_1TCdQHpFg,Junpei Zaki,5780000,macro,30,30,1923733.33,1150000.0,3016149.58,16000000,0.0,0.0,0.0,0.0,27.5,0.0667,0.9667,0.0,0.6,0.3328,0.3894
UCGcq3X8Ff7nje0DPf_YqaRg,SpeedCubeShop,113000,mid,30,30,20010.0,18000.0,12119.2,75000,0.0,0.0,0.0,0.0,66.93,0.0333,0.7333,0.6,0.0,0.1771,0.6228
